supplementary_table,section,section_row,Predictor,Outcome,n,Spearman rho,95% CI low,95% CI high,Unadjusted P value,Holm-adjusted P value,Predictor 1,Predictor 2,Pearson r,Term,Estimate,Model-based SE,t statistic,P value,Model statistic,Value,Primary estimate,Minimum leave-one-country-out estimate,Maximum leave-one-country-out estimate,Country producing largest absolute change,Excluded country,R&D coefficient,Researcher-density coefficient,Country code,"Institutions, n",Cook's distance,Leverage,Standardized weighted residual,title,description,notes
S6,LOO estimates,43,,,,,,,,,,,,,,,,,,,,,,,NOR,-0.119267765526271,-0.175627252576076,,,,,,,,
S6,LOO estimates,44,,,,,,,,,,,,,,,,,,,,,,,BGR,-0.119436782815095,-0.175689713472245,,,,,,,,
S6,LOO estimates,45,,,,,,,,,,,,,,,,,,,,,,,CHE,-0.117814689257638,-0.176088465876393,,,,,,,,
S6,LOO estimates,46,,,,,,,,,,,,,,,,,,,,,,,PHL,-0.118641594113637,-0.175858255562833,,,,,,,,
S6,LOO estimates,47,,,,,,,,,,,,,,,,,,,,,,,TUN,-0.119464013347934,-0.179361114634259,,,,,,,,
S6,LOO estimates,48,,,,,,,,,,,,,,,,,,,,,,,HUN,-0.119555575813408,-0.175127290149131,,,,,,,,
S6,LOO estimates,49,,,,,,,,,,,,,,,,,,,,,,,SVK,-0.120133741366177,-0.174862946665372,,,,,,,,
S6,LOO estimates,50,,,,,,,,,,,,,,,,,,,,,,,IRL,-0.119576215599848,-0.174289736508846,,,,,,,,
S6,LOO estimates,51,,,,,,,,,,,,,,,,,,,,,,,CYP,-0.119334064001519,-0.175892060014027,,,,,,,,
S6,LOO estimates,52,,,,,,,,,,,,,,,,,,,,,,,FIN,-0.119142645020027,-0.175719558016113,,,,,,,,
S6,LOO estimates,53,,,,,,,,,,,,,,,,,,,,,,,HKG,-0.119527404248365,-0.175191662303617,,,,,,,,
S6,LOO estimates,54,,,,,,,,,,,,,,,,,,,,,,,LKA,-0.113246995449529,-0.183242907955198,,,,,,,,
S6,LOO estimates,55,,,,,,,,,,,,,,,,,,,,,,,BEL,-0.119845890774837,-0.175552411664447,,,,,,,,
S6,LOO estimates,56,,,,,,,,,,,,,,,,,,,,,,,AZE,-0.118999155670822,-0.17687639170514,,,,,,,,
S6,LOO estimates,57,,,,,,,,,,,,,,,,,,,,,,,HRV,-0.118538121820674,-0.176635120686531,,,,,,,,
S6,LOO estimates,58,,,,,,,,,,,,,,,,,,,,,,,KEN,-0.114983957083448,-0.176891575628062,,,,,,,,
S6,LOO estimates,59,,,,,,,,,,,,,,,,,,,,,,,OMN,-0.119103659874761,-0.178004855958777,,,,,,,,
S6,Influence diagnostics,1,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,723,0.0198576351759253,0.661768811576429,0.24677040111597,Supplementary Table S6. Country-level associations and conventional weighted regression estimates.,"Prespecified Spearman correlations, Pearson correlations among the three continuous regression predictors, conventional weighted regression, leave-one-country-out estimates, and influence diagnostics.","Correlation CIs use 10,000 country-level bootstrap resamples. | The four prespecified Spearman-test P values were adjusted as one family using the Holm procedure. | The Pearson predictor matrix is a descriptive collinearity diagnostic for the 59 complete-case regression countries. | Only conventional model-based regression standard errors and confidence intervals are reported. | Countries were weighted by their number of represented IRIS institutions."
S6,Influence diagnostics,2,,,,,,,,,,,,,,,,,,,,,,,,,,USA,579,0.000324140017998627,0.478464600560925,-0.0460425046974029,,,
S6,Influence diagnostics,3,,,,,,,,,,,,,,,,,,,,,,,,,,IND,519,1.03422647499435,0.703859067456062,-1.61580822918744,,,
S6,Influence diagnostics,4,,,,,,,,,,,,,,,,,,,,,,,,,,JPN,179,0.0236469036336137,0.123878433682261,1.00172173873231,,,
S6,Influence diagnostics,5,,,,,,,,,,,,,,,,,,,,,,,,,,RUS,168,0.420497860459175,0.264710775946564,2.64728568038647,,,
S6,Influence diagnostics,6,,,,,,,,,,,,,,,,,,,,,,,,,,IRN,166,0.0120791088084776,0.220989995374965,-0.505450095697369,,,
S6,Influence diagnostics,7,,,,,,,,,,,,,,,,,,,,,,,,,,FRA,151,0.00821355875025019,0.0940573365402328,-0.688962092334785,,,
