supplementary_table,section,section_row,Country or territory code,"Institutions, n",Mean IRIS Overall score,Median IRIS Overall score,SD IRIS Overall score,Very low (%),Low (%),Medium (%),Significant (%),Medium or significant (%),Mean scientific output,Median scientific output,Mean multi-affiliation,Mean retracted output,Mean self-citation,Mean discontinued journals output,Mean hyperauthored output,Mean leadership impact gap,Mean hyperprolific authors,Mean institutional journal output,Mean redundant output,title,description,notes
S2,Country summary,49,ISR,23,-0.2399130434782608,-0.268,0.1943169653014182,56.52173913043478,39.130434782608695,4.3478260869565215,0,4.3478260869565215,6059.565217391304,758,0.5663478260869566,-0.2206521739130434,0.2370869565217391,-0.4318695652173913,-0.6088260869565217,-0.3604347826086956,-1.1576521739130434,-0.268,0.7076521739130434,,,
S2,Country summary,50,CZE,22,0.1681818181818181,0.0715,0.4256456872590759,9.090909090909092,31.818181818181817,54.54545454545454,4.545454545454546,59.09090909090909,5578.454545454545,3061.5,0.3194090909090909,0.0593636363636363,0.4763181818181818,0.1362727272727272,-0.2800454545454545,0.1903636363636363,-0.5957272727272727,1.3607727272727272,-0.0920454545454545,,,
S2,Country summary,51,GRC,22,0.0086363636363636,0.0009999999999999974,0.3593791664542969,22.727272727272727,27.27272727272727,50,0,50,6070.136363636364,3032,0.0551363636363635,0.1128181818181818,0.0581363636363636,-0.1334090909090909,0.1452727272727272,-0.0280909090909091,-0.0879999999999999,-0.2534090909090909,0.4275909090909091,,,
S2,Country summary,52,NOR,22,0.0233636363636363,-0.172,0.8398426465687908,31.818181818181817,45.45454545454545,18.181818181818183,4.545454545454546,22.727272727272727,6353.590909090909,2692.5,1.5787727272727272,0.033090909090909,-0.4043636363636363,-0.2705909090909091,-0.1818636363636363,-0.2069545454545454,-0.1278181818181818,-0.2478181818181818,-0.2588636363636364,,,
S2,Country summary,53,BGR,19,0.2693684210526316,0.201,0.4914336408832965,0,31.57894736842105,63.1578947368421,5.263157894736842,68.42105263157895,1532.6842105263158,949,-0.6577894736842105,-0.1434210526315789,1.5655263157894737,0.9250526315789472,-0.4797894736842105,0.3892105263157895,-0.9860526315789472,1.6787368421052633,1.006,,,
S2,Country summary,54,CHE,19,-0.1729473684210526,-0.215,0.1399914575505752,31.57894736842105,52.63157894736842,15.789473684210526,0,15.789473684210526,11838.473684210529,3314,1.0959473684210526,-0.265,-0.3798947368421053,-0.4314736842105263,0.2893157894736842,-0.1155263157894736,-0.7161578947368421,-0.267,-0.1595789473684211,,,
S2,Country summary,55,PHL,19,0.3576315789473684,0.248,0.6613440196151332,0,31.57894736842105,63.1578947368421,5.263157894736842,68.42105263157895,1848.4736842105265,587,0.4614736842105263,0.1353684210526315,0.0823684210526315,1.3952105263157897,-0.2661052631578947,0.8046842105263158,-0.5019473684210526,-0.0111578947368421,0.2427894736842104,,,
S2,Country summary,56,TUN,18,0.3250555555555555,0.2825,0.3798161276850592,5.555555555555555,11.11111111111111,77.77777777777779,5.555555555555555,83.33333333333334,3588.8888888888887,2165.5,2.9429444444444446,0.3262222222222222,0.2097777777777777,0.4972777777777777,-1.140388888888889,-0.2029999999999999,-1.001611111111111,-0.268,0.3422222222222222,,,
S2,Country summary,57,HUN,17,0.062235294117647,-0.06,0.4577793586177413,5.88235294117647,52.94117647058824,35.294117647058826,5.88235294117647,41.17647058823529,4374.058823529412,2408,0.7976470588235294,-0.1509411764705882,0.2449411764705882,-0.1028235294117647,-0.0960588235294117,0.4696470588235294,-0.6020588235294118,0.4947647058823529,0.5662941176470588,,,
S2,Country summary,58,SVK,17,0.0541764705882353,-0.021,0.3873564629792108,11.76470588235294,52.94117647058824,35.294117647058826,0,35.294117647058826,2594.176470588235,1385,-0.4274705882352941,-0.1664117647058823,0.3459411764705882,0.3296470588235294,-0.204,0.7781176470588235,-0.920705882352941,1.2046470588235294,0.1309999999999999,,,
