id,institution,country,sir_rank,overall,risk,output,multi_affiliation,retracted_output,self_citation,discontinued_journals_output,hyperauthored_output,leadership_impact_gap,hyperprolific_authors,institutional_journal_output,redundant_output,multi_affiliation_w,retracted_output_w,self_citation_w,discontinued_journals_output_w,hyperauthored_output_w,leadership_impact_gap_w,hyperprolific_authors_w,institutional_journal_output_w,redundant_output_w,cluster_raw,mean_overall,profile
2247,Universidad de Guayaquil,ECU,8650,1.454,significant,1210,1.114,-0.17400000000000002,0.317,7.917,-1.02,0.24000000000000002,-1.4129999999999998,-0.268,0.063,1.114,-0.17400000000000002,0.317,7.721330000000018,-1.02,0.24000000000000002,-1.4129999999999998,-0.268,0.063,5,0.749297836938436,Profile 4
15238,Texas Woman's University,USA,8650,-0.359,very low,1327,-0.896,0.455,-1.083,-0.348,-1.145,-0.734,-1.4129999999999998,-0.268,-0.40900000000000003,-0.896,0.455,-1.083,-0.348,-1.145,-0.734,-1.4129999999999998,-0.268,-0.40900000000000003,1,-0.12721371216800495,Profile 1
89557,"National Pirogov Memorial Medical University, Vinnytsya",UKR,8654,0.11,medium,1155,-1.655,0.032,1.313,0.586,-0.47600000000000003,3.173,-1.4129999999999998,-0.268,2.3329999999999997,-1.61231,0.032,1.313,0.586,-0.47600000000000003,3.173,-1.4129999999999998,-0.268,2.3329999999999997,2,0.05370313757039421,Profile 2
77573,University College of Medical Sciences,IND,8654,-0.464,very low,1352,-1.006,-0.40900000000000003,-1.608,-0.275,-0.7,1.6720000000000002,-0.8700000000000001,-0.268,-0.7979999999999999,-1.006,-0.40900000000000003,-1.608,-0.275,-0.7,1.6720000000000002,-0.8700000000000001,-0.268,-0.7979999999999999,1,-0.12721371216800495,Profile 1
925,Technical University of Sofia,BGR,8654,0.167,medium,4169,-1.529,-0.014,4.0249999999999995,1.2089999999999999,-1.232,-1.9749999999999999,-0.894,-0.268,3.1559999999999997,-1.529,-0.014,4.0249999999999995,1.2089999999999999,-1.232,-1.9749999999999999,-0.894,-0.268,3.1559999999999997,5,0.749297836938436,Profile 4
6826,Instituto Politecnico de Castelo Branco,PRT,8654,0.301,medium,782,2.262,0.305,-0.33199999999999996,0.8570000000000001,-0.718,0.527,-1.4129999999999998,-0.268,0.12100000000000001,2.262,0.305,-0.33199999999999996,0.8570000000000001,-0.718,0.527,-1.4129999999999998,-0.268,0.12100000000000001,1,-0.12721371216800495,Profile 1
3473,The Maharaja Sayajirao University of Baroda,IND,8654,-0.33599999999999997,very low,2339,-1.214,-0.48400000000000004,0.611,0.281,-1.1,-0.802,-0.454,-0.268,0.21500000000000002,-1.214,-0.48400000000000004,0.611,0.281,-1.1,-0.802,-0.454,-0.268,0.21500000000000002,1,-0.12721371216800495,Profile 1
96826,Hanoi National University of Education,VNM,8659,-0.039,low,1581,-0.761,-0.362,-0.8690000000000001,1.008,-0.43300000000000005,2.69,-1.181,-0.268,0.401,-0.761,-0.362,-0.8690000000000001,1.008,-0.43300000000000005,2.69,-1.181,-0.268,0.401,2,0.05370313757039421,Profile 2
98720,Shandong Management University,CHN,8659,0.29700000000000004,medium,714,-0.061,0.48300000000000004,-1.446,2.235,-0.347,-0.48400000000000004,-1.4129999999999998,-0.268,-0.135,-0.061,0.48300000000000004,-1.446,2.235,-0.347,-0.48400000000000004,-1.4129999999999998,-0.268,-0.135,1,-0.12721371216800495,Profile 1
3383,Manonmaniam Sundaranar University,IND,8665,0.29000000000000004,medium,2250,-1.1840000000000002,0.33299999999999996,-0.8380000000000001,2.218,-1.2069999999999999,2.101,-1.4129999999999998,-0.268,0.597,-1.1840000000000002,0.33299999999999996,-0.8380000000000001,2.218,-1.2069999999999999,2.101,-1.4129999999999998,-0.268,0.597,1,-0.12721371216800495,Profile 1
6442,Universidad Privada Antenor Orrego,PER,8665,0.15700000000000003,medium,690,-1.086,-0.07100000000000001,-0.258,2.407,-1.084,0.528,-1.4129999999999998,-0.268,0.279,-1.086,-0.07100000000000001,-0.258,2.407,-1.084,0.528,-1.4129999999999998,-0.268,0.279,1,-0.12721371216800495,Profile 1
10537,Tafila Technical University,JOR,8665,0.276,medium,996,1.772,0.004,0.051000000000000004,1.395,-1.181,0.396,-0.583,-0.268,-1.1860000000000002,1.772,0.004,0.051000000000000004,1.395,-1.181,0.396,-0.583,-0.268,-1.1860000000000002,1,-0.12721371216800495,Profile 1
99105,Alanya Alaaddin Keykubat University,TUR,8668,-0.528,very low,1234,-0.988,-0.315,-0.806,-0.12200000000000001,-0.889,-0.773,-1.4129999999999998,-0.268,-0.371,-0.988,-0.315,-0.806,-0.12200000000000001,-0.889,-0.773,-1.4129999999999998,-0.268,-0.371,1,-0.12721371216800495,Profile 1
